Estado,Municipio,Ciudad
Amazonas,Atures,Puerto Ayacucho
Anzoátegui,Bolívar,Barcelona
Anzoátegui,Sotillo,Puerto La Cruz
Apure,San Fernando,San Fernando de Apure
Aragua,Girardot,Maracay
Aragua,Santiago Mariño,Turmero
Barinas,Barinas,Barinas
Bolívar,Heres,Ciudad Bolívar
Carabobo,Valencia,Valencia
Carabobo,Puerto Cabello,Puerto Cabello
Cojedes,Ezequiel Zamora,San Carlos
Delta Amacuro,Tucupita,Tucupita
Falcón,Miranda,Coro
Guárico,Juan Germán Roscio,San Juan de los Morros
Lara,Iribarren,Barquisimeto
Mérida,Libertador,Mérida
Miranda,Guaicaipuro,Los Teques
Monagas,Maturín,Maturín
Nueva Esparta,Arismendi,La Asunción
Portuguesa,Guanare,Guanare
Sucre,Sucre,Cumaná
Táchira,San Cristóbal,San Cristóbal
Trujillo,Trujillo,Trujillo
Vargas,Vargas,La Guaira
Yaracuy,San Felipe,San Felipe
Zulia,Maracaibo,Maracaibo
